N_CTX,mLSTM PT,mLSTM PT Compile,mLSTM Triton
256.000000,0.213137,0.114002,0.072008
512.000000,0.598030,0.324105,0.162101
1024.000000,3.342925,1.173974,0.489410
2048.000000,13.494746,4.469110,1.677928
4096.000000,54.535168,18.391617,6.002387
