N_CTX,mLSTM PT Autograd Compile,mLSTM Triton
256.000000,0.220664,0.307998
512.000000,0.582464,0.732306
1024.000000,2.213279,2.358819
2048.000000,8.997788,7.414556
4096.000000,34.885422,27.908865
