N_CTX,mLSTM PT Autograd Compile FWBW,mLSTM Triton FWBW,mLSTM PT Autograd Compile FW,mLSTM Triton FW
256.000000,0.118374,0.519061,0.040797,0.030254
512.000000,0.388854,0.277450,0.131670,0.054715
1024.000000,1.378533,0.598020,0.375019,0.124451
2048.000000,6.281271,1.618509,1.598742,0.355323
4096.000000,32.691319,5.502702,6.633487,1.245179
