N_CTX,mLSTM PT Autograd Compile,mLSTM Triton
256.000000,0.154278,0.213272
512.000000,0.427126,0.397416
1024.000000,1.611108,1.037117
2048.000000,6.424649,3.276074
4096.000000,26.911402,10.022568
