N_CTX,mLSTM PT Autograd Compile FWBW,mLSTM Triton FWBW,mLSTM PT Autograd Compile FW,mLSTM Triton FW
256.000000,0.264804,0.374493,0.072992,0.064823
512.000000,0.578312,0.774771,0.178977,0.142496
1024.000000,2.159089,2.272552,0.584149,0.425770
2048.000000,8.405284,8.191925,2.285031,1.471647
4096.000000,43.880959,29.034836,9.730020,6.753006
