N_CTX,Triton [FP16],Triton [FP8]
1024.000000,24.230575,40.074726
2048.000000,24.667822,42.670608
4096.000000,27.325471,47.605421
8192.000000,24.374142,45.073953
16384.000000,28.741375,48.381611
