N_CTX,Triton [FP16],Triton [FP8]
1024.000000,27.549678,49.258736
2048.000000,25.217815,46.131847
4096.000000,25.589654,50.113378
8192.000000,27.885051,50.770335
16384.000000,28.387751,48.593246
