N_CTX,mLSTM PT Compile,mLSTM Triton
256.000000,0.156252,0.232461
512.000000,0.445820,0.607455
1024.000000,1.774721,2.103677
2048.000000,6.880968,7.720346
4096.000000,31.294100,28.854507
