N_CTX,mLSTM PT,mLSTM PT Compile,mLSTM Triton
256.000000,0.210750,0.106337,0.068884
512.000000,0.614615,0.314931,0.130720
1024.000000,3.262906,1.166135,0.382063
2048.000000,13.399594,4.474444,1.232630
4096.000000,56.215553,18.193554,4.122192
