N_CTX,mLSTM PT,mLSTM PT Compile,mLSTM Triton
256.000000,0.163215,0.077844,0.088321
512.000000,0.354266,0.224933,0.173710
1024.000000,1.578989,0.812083,0.456228
2048.000000,7.949301,3.041348,1.928133
4096.000000,31.774666,15.842171,6.356939
