N_CTX,mLSTM PT,mLSTM PT Compile,mLSTM Triton
256.000000,0.214969,0.126638,0.120540
512.000000,0.471108,0.326504,0.454885
1024.000000,1.758080,1.427305,1.357088
2048.000000,10.854680,5.236983,4.066498
4096.000000,34.558975,20.163006,15.434957
